mark_scheme_id,question_id,subject_id,mark_scheme_text,structured_mark_scheme_text,question_type
,3.5,edexcel_business_studies," Adapting existing products can take less time and creative
input than creating original ideas (AO1b).
• Adapting existing products may not be as innovative
as creating original ideas (AO1b).
• New ideas can be brought to market ahead of competitor
products and therefore provide a competitive advantage to a
business (AO3a).
• Less innovative ideas may not fully meet changing customer
needs. Therefore, customers may choose a new product from a
competitor that has filled a gap in the market (AO3a).
(6)
AO1b=3
AO3a=3
Level Mark Descriptor
0 No rewardable material.
Level 1 1–2 • Demonstrates elements of knowledge and understanding of
business concepts and issues, with limited business terminology
used (AO1b).
• Attempts to deconstruct business information and/or issues,
finding limited connections between points (AO3a).
Level 2 3–4 • Demonstrates mostly accurate knowledge and understanding of
business concepts and issues, including appropriate use of
business terminology in places (AO1b).
• Deconstructs business information and/or issues, finding
interconnected points with chains of reasoning, although there
may be some logical inconsistencies (AO3a).
Level 3 5–6 • Demonstrates accurate knowledge and understanding of
business concepts and issues throughout, including appropriate
use of business terminology (AO1b).
• Deconstructs business information and/or issues, finding
detailed interconnected points with logical chains of reasoning
(AO3a).","Indicative_content:
  - Adapting existing products can take less time and creative input than creating original ideas (AO1b).
  - Adapting existing products may not be as innovative as creating original ideas (AO1b).
  - New ideas can be brought to market ahead of competitor products and therefore provide a competitive advantage to a business (AO3a).
  - Less innovative ideas may not fully meet changing customer needs. Therefore, customers may choose a new product from a competitor that has filled a gap in the market (AO3a).

Level_0:
  description: 
    - No rewardable material.
  marks_awarded:
    maximum: 0
    minimum: 0
  criteria:
    - 

Level_1:
  description: 
    - Demonstrates elements of knowledge and understanding of business concepts and issues, with limited business terminology used (AO1b).
    - Attempts to deconstruct business information and/or issues, finding limited connections between points (AO3a).
  marks_awarded:
    maximum: 2
    minimum: 1
  criteria:
    - Demonstrates elements of knowledge and understanding of business concepts and issues, with limited business terminology used (AO1b).
    - Attempts to deconstruct business information and/or issues, finding limited connections between points (AO3a).

Level_2:
  description: 
    - Demonstrates mostly accurate knowledge and understanding of business concepts and issues, including appropriate use of business terminology in places (AO1b).
    - Deconstructs business information and/or issues, finding interconnected points with chains of reasoning, although there may be some logical inconsistencies (AO3a).
  marks_awarded:
    maximum: 4
    minimum: 3
  criteria:
    - Demonstrates mostly accurate knowledge and understanding of business concepts and issues, including appropriate use of business terminology in places (AO1b).
    - Deconstructs business information and/or issues, finding interconnected points with chains of reasoning, although there may be some logical inconsistencies (AO3a).

Level_3:
  description: 
    - Demonstrates accurate knowledge and understanding of business concepts and issues throughout, including appropriate use of business terminology (AO1b).
    - Deconstructs business information and/or issues, finding detailed interconnected points with logical chains of reasoning (AO3a).
  marks_awarded:
    maximum: 6
    minimum: 5
  criteria:
    - Demonstrates accurate knowledge and understanding of business concepts and issues throughout, including appropriate use of business terminology (AO1b).
    - Deconstructs business information and/or issues, finding detailed interconnected points with logical chains of reasoning (AO3a).",bs_discuss
,4.1,edexcel_business_studies,"Award up to 2 marks for linked points outlining a way financial
information in a business plan could help forecast success. Award
a maximum of 1 mark if points are not linked.
The business plan could contain a cash-flow forecast for Lili
Heating Ltd (1). This would help ensure there was always enough
cash to pay for plumbing supplies (1).
A break even forecast could be included in the business plan (1).
This would set a target of how many female customers were
needed to start making a profit (1).
Award any other valid answer. To award 2 marks there must
linked development and evidence of application.","marking_criteria:
  - Outline a way financial information in a business plan could help forecast success.
  - Points must be linked to award up to 2 marks.
  - If points are not linked, award a maximum of 1 mark.

example_answers:
  - The business plan could contain a cash-flow forecast for Lili Heating Ltd (1). This would help ensure there was always enough cash to pay for plumbing supplies (1).
  - A break even forecast could be included in the business plan (1). This would set a target of how many female customers were needed to start making a profit (1).
  - Any other valid answer with linked development and evidence of application (1).

marking_notes:
  - To award 2 marks, there must be linked development and evidence of application.

total_marks:
  - 2",bs_outline
,4.2,edexcel_business_studies,"The challenge of setting up a plumbing business in
Birmingham, where competition is high, could be a
driving force for Amelia (AO2).
• Amelia may want to gain more independence after working
for someone else for six years (AO2).
• As a result, she would be determined to succeed as
there are very few female business owners in the
plumbing industry. This could give her an extra
incentive to do well. (AO3a).
• Therefore, by setting up Lili Heating Ltd she can be her own
boss and make her own decisions. She no longer has to carry
out repairs on houses for someone else (AO3a).
(6)
AO2=3
AO3a=3
Level Mark Descriptor
0 No rewardable material.
Level 1 1–2 • Limited application of knowledge and understanding of business
concepts and issues to the business context (AO2).
• Attempts to deconstruct business information and/or issues,
finding limited connections between points (AO3a).
Level 2 3–4 • Sound application of knowledge and understanding of business
concepts and issues to the business context although there may be
some inconsistencies (AO2).
• Deconstructs business information and/or issues, finding
interconnected points with chains of reasoning, although there may
be some logical inconsistencies (AO3a).
Level 3 5–6 • Detailed application of knowledge and understanding of
business concepts and issues to the business context
throughout (AO2).
• Deconstructs business information and/or issues, finding detailed
interconnected points with logical chains of reasoning (AO3a).","Indicative_content:
  - The challenge of setting up a plumbing business in Birmingham, where competition is high, could be a driving force for Amelia (AO2).
  - Amelia may want to gain more independence after working for someone else for six years (AO2).
  - As a result, she would be determined to succeed as there are very few female business owners in the plumbing industry. This could give her an extra incentive to do well. (AO3a).
  - Therefore, by setting up Lili Heating Ltd she can be her own boss and make her own decisions. She no longer has to carry out repairs on houses for someone else (AO3a).

Level_number:
  description: 
    - No rewardable material.
  marks_awarded:
    maximum: 0
    minimum: 0
  criteria:
    - []

Level_1:
  description: 
    - Limited application of knowledge and understanding of business concepts and issues to the business context (AO2).
    - Attempts to deconstruct business information and/or issues, finding limited connections between points (AO3a).
  marks_awarded:
    maximum: 2
    minimum: 1
  criteria:
    - []

Level_2:
  description: 
    - Sound application of knowledge and understanding of business concepts and issues to the business context although there may be some inconsistencies (AO2).
    - Deconstructs business information and/or issues, finding interconnected points with chains of reasoning, although there may be some logical inconsistencies (AO3a).
  marks_awarded:
    maximum: 4
    minimum: 3
  criteria:
    - []

Level_3:
  description: 
    - Detailed application of knowledge and understanding of business concepts and issues to the business context throughout (AO2).
    - Deconstructs business information and/or issues, finding detailed interconnected points with logical chains of reasoning (AO3a).
  marks_awarded:
    maximum: 6
    minimum: 5
  criteria:
    - []",bs_analyse
,5.1,edexcel_business_studies,"Substitution into correct formula:
£4 000 + (£8 600 - £11 000) (1)
Answer: £1 600 (1)","Substitution into correct formula:
£4 000 + (£8 600 - £11 000) (1)
Answer: £1 600 (1)",bs_calculate
,5.2,edexcel_business_studies,"Substitution into correct formula:
(33,700 ÷ 66,700) x 100 (1)
Answer: 50.52% (1)","Substitution into correct formula:
(33,700 ÷ 66,700) x 100 (1)
Answer: 50.52% (1)",bs_calculate
,5.3,edexcel_business_studies,"Using the internet as a source of secondary market
research is a fast and convenient way to discover how
many females live in Birmingham (AO2).
• The internet will not provide focused information to let
Amelia know if there will be enough demand for her
plumbing and building services (AO2).
• Although she knows how many females live in
Birmingham, it would be difficult to find out how many
of them own a property or would want a female
plumber to work in their homes (AO3a).
• Lili Heating Ltd will be in competition against other
established plumbers. Amelia will need to spend more
time developing her target market to make sure there
are enough potential customers (AO3a).
(6)
AO2=3
AO3a=3
Level Mark Descriptor
0 No rewardable material.
Level 1 1–2 • Limited application of knowledge and understanding of business
concepts and issues to the business context (AO2).
• Attempts to deconstruct business information and/or issues,
finding limited connections between points (AO3a).
Level 2 3–4 • Sound application of knowledge and understanding of business
concepts and issues to the business context although there may
be some inconsistencies (AO2).
• Deconstructs business information and/or issues, finding
interconnected points with chains of reasoning, although there
may be some logical inconsistencies (AO3a).
Level 3 5–6 • Detailed application of knowledge and understanding of
business concepts and issues to the business context
throughout (AO2).
• Deconstructs business information and/or issues, finding detailed
interconnected points with logical chains of reasoning (AO3a).","Indicative_content:
  - Using the internet as a source of secondary market research is a fast and convenient way to discover how many females live in Birmingham (AO2).
  - The internet will not provide focused information to let Amelia know if there will be enough demand for her plumbing and building services (AO2).
  - Although she knows how many females live in Birmingham, it would be difficult to find out how many of them own a property or would want a female plumber to work in their homes (AO3a).
  - Lili Heating Ltd will be in competition against other established plumbers. Amelia will need to spend more time developing her target market to make sure there are enough potential customers (AO3a).

Level_0:
  description: 
    - No rewardable material.
  marks_awarded:
    maximum: 0
    minimum: 0
  criteria:
    - None

Level_1:
  description: 
    - Limited application of knowledge and understanding of business concepts and issues to the business context (AO2).
    - Attempts to deconstruct business information and/or issues, finding limited connections between points (AO3a).
  marks_awarded:
    maximum: 2
    minimum: 1
  criteria:
    - Limited application of knowledge and understanding of business concepts and issues to the business context (AO2).
    - Attempts to deconstruct business information and/or issues, finding limited connections between points (AO3a).

Level_2:
  description: 
    - Sound application of knowledge and understanding of business concepts and issues to the business context although there may be some inconsistencies (AO2).
    - Deconstructs business information and/or issues, finding interconnected points with chains of reasoning, although there may be some logical inconsistencies (AO3a).
  marks_awarded:
    maximum: 4
    minimum: 3
  criteria:
    - Sound application of knowledge and understanding of business concepts and issues to the business context although there may be some inconsistencies (AO2).
    - Deconstructs business information and/or issues, finding interconnected points with chains of reasoning, although there may be some logical inconsistencies (AO3a).

Level_3:
  description: 
    - Detailed application of knowledge and understanding of business concepts and issues to the business context throughout (AO2).
    - Deconstructs business information and/or issues, finding detailed interconnected points with logical chains of reasoning (AO3a).
  marks_awarded:
    maximum: 6
    minimum: 5
  criteria:
    - Detailed application of knowledge and understanding of business concepts and issues to the business context throughout (AO2).
    - Deconstructs business information and/or issues, finding detailed interconnected points with logical chains of reasoning (AO3a).",bs_analyse
,6.1,edexcel_business_studies,"Award 1 mark for stating one element of the marketing mix for Lili
Heating Ltd.
The place of distributing her services to customer homes in
Birmingham (1).
Promotion methods to attract female customers (1).
Product is to repair/install boilers (1).
To award 1 mark there must be evidence of application.","marking_criteria:
  - Stating one element of the marketing mix for Lili Heating Ltd.
example_answers:
  - The place of distributing her services to customer homes in Birmingham (1)
  - Promotion methods to attract female customers (1)
  - Product is to repair/install boilers (1)
marking_notes:
  - To award 1 mark there must be evidence of application.
total_marks:
  - 3",bs_state
,6.2,edexcel_business_studies,"Award up to 2 marks for linked points outlining a reason why the
government would want Lili Heating Ltd to be successful. Award a
maximum of 1 mark if points are not linked.
The government will collect more tax if Lili Heating Ltd is successful
(1). Taxes will be based on the profits it makes from plumbing
repairs (1).
The government will want more people to be employed (1). Amelia
may employ more female plumbers if the business is a success (1).
Award any other valid answer. To award 2 marks there must
linked development and evidence of application.","marking_criteria:
  - Linked points outlining a reason why the government would want Lili Heating Ltd to be successful.
  - Maximum of 1 mark if points are not linked.
example_answers:
  - The government will collect more tax if Lili Heating Ltd is successful (1).
  - Taxes will be based on the profits it makes from plumbing repairs (1).
  - The government will want more people to be employed (1).
  - Amelia may employ more female plumbers if the business is a success (1).
  - Award any other valid answer. To award 2 marks there must linked development and evidence of application.
marking_notes:
  - Award up to 2 marks for linked points.
  - Maximum of 1 mark if points are not linked.
total_marks:
  - 2",bs_outline
,6.3,edexcel_business_studies,"Offering discounted prices to female customers will help
build on her unique selling point of being a female
plumber (AO2).
• Using social media makes it much easier to communicate with
customers when giving advice and clear prices for the plumbing
work (AO2).
• Female customers often feel they cannot trust male
plumbers when they give them prices to repair their
houses. If Amelia offers a discount to female customers, it
will make them aware that she is trying to help them
overcome this problem (AO3a).
• This will help promote the quality of customer service
Amelia can give to customers. As a result, customers can
leave positive reviews on social media which will help her
achieve her advertising objective of gaining customers
through word-of-mouth recommendations (AO3a).
• However, Amelia may be alienating male customers. They
will feel that Lili Heating Ltd is not being fair in only offering
the discount to women. This could create bad publicity for
Amelia and give the business a bad image with half the
population in Birmingham (AO3b).
• However, there is a lot of competition in the Birmingham
area so it will be difficult to get her social media
promotion noticed. This could make it difficult to
differentiate her service (AO3b).


0 No rewardable material.
Level 1 1–3 • Limited application of knowledge and understanding of business
concepts and issues to the business context (AO2).
• Attempts to deconstruct business information and/or issues,
finding limited connections between points (AO3a).
• Makes a judgement, providing a simple justification based on
limited evaluation of business information and issues relevant to
the choice made (AO3b).
Level 2 4-6 • Sound application of knowledge and understanding of business
concepts and issues to the business context although there may
be some inconsistencies (AO2).
• Deconstructs business information and/or issues, finding
interconnected points with chains of reasoning, although there
may be some logical inconsistencies (AO3a).
• Makes a judgement, providing a justification based on sound
evaluation of business information and issues relevant to the
choice made (AO3b).
Level 3 7-9 • Detailed application of knowledge and understanding of
business concepts and issues to the business context
throughout (AO2).
• Deconstructs business information and/or issues, finding
detailed interconnected points with logical chains of reasoning
(AO3a).
• Makes a judgement, providing a clear justification based on a
thorough evaluation of business information and issues relevant
to the choice made (AO3b).
","Level_0:
  description: 
    - No rewardable material.
  marks_awarded:
    maximum: 0
    minimum: 0
  criteria:
    - No criteria.
  progression:
    - Students need to begin demonstrating basic application and understanding of business concepts to progress from this level.
  example_answer: 
    - No example answer.

Level_1:
  description: 
    - Limited application of knowledge and understanding of business concepts and issues to the business context (AO2).
    - Attempts to deconstruct business information and/or issues, finding limited connections between points (AO3a).
    - Makes a judgement, providing a simple justification based on limited evaluation of business information and issues relevant to the choice made (AO3b).
  marks_awarded:
    maximum: 3
    minimum: 1
  criteria:
    - Demonstrates limited understanding of the business scenario.
    - Attempts basic analysis with limited connections between points.
    - Provides a simple judgement with minimal justification.
  progression:
    - To progress to Level 2, students need to demonstrate a sound understanding of business concepts and provide more interconnected points with chains of reasoning.
  example_answer: 
    - Offering discounted prices to female customers will help build on her unique selling point of being a female plumber (AO2).

Level_2:
  description: 
    - Sound application of knowledge and understanding of business concepts and issues to the business context although there may be some inconsistencies (AO2).
    - Deconstructs business information and/or issues, finding interconnected points with chains of reasoning, although there may be some logical inconsistencies (AO3a).
    - Makes a judgement, providing a justification based on sound evaluation of business information and issues relevant to the choice made (AO3b).
  marks_awarded:
    maximum: 6
    minimum: 4
  criteria:
    - Demonstrates sound understanding of the business scenario with some inconsistencies.
    - Provides interconnected points with some logical chains of reasoning.
    - Makes a justified judgement based on sound evaluation.
  progression:
    - To progress to Level 3, students need to demonstrate detailed application and understanding, with thorough evaluation and clear justifications.
  example_answer: 
    - Using social media makes it much easier to communicate with customers when giving advice and clear prices for the plumbing work (AO2).

Level_3:
  description: 
    - Detailed application of knowledge and understanding of business concepts and issues to the business context throughout (AO2).
    - Deconstructs business information and/or issues, finding detailed interconnected points with logical chains of reasoning (AO3a).
    - Makes a judgement, providing a clear justification based on a thorough evaluation of business information and issues relevant to the choice made (AO3b).
  marks_awarded:
    maximum: 9
    minimum: 7
  criteria:
    - Demonstrates detailed understanding of the business scenario.
    - Provides detailed interconnected points with logical chains of reasoning.
    - Makes a clear and justified judgement based on thorough evaluation.
  progression:
    - To maintain Level 3, students should continue to provide detailed and logical evaluations and justifications.
  example_answer: 
    - Female customers often feel they cannot trust male plumbers when they give them prices to repair their houses. If Amelia offers a discount to female customers, it will make them aware that she is trying to help them overcome this problem (AO3a).
",bs_justify
,7.1,edexcel_business_studies,"Award one mark for stating one risk for investors in Ripple.
Loss of money invested in the wind farm (1).
Investors may not receive enough energy for home/business needs
(1).
Business may fail due to lack of demand for renewable energy (1).
To award 1 mark there must be evidence of application.","marking_criteria:
  - Stating one risk for investors in Ripple

example_answers:
  - Loss of money invested in the wind farm (1)
  - Investors may not receive enough energy for home/business needs (1)
  - Business may fail due to lack of demand for renewable energy (1)

marking_notes:
  - To award 1 mark there must be evidence of application.

total_marks:
  - 1",bs_state
,7.2,edexcel_business_studies,Coal,"marking_criteria:
  - Award mark if the example answer is mentioned exactly (case insensitive).
example_answers:
  - Coal
total_marks:
  - 1",bs_identify
,7.3,edexcel_business_studies,"Award up to 2 marks for linked points outlining a benefit to
customers of Ripple. Award a maximum of 1 mark if points are not
linked.
Customers will receive the correct green energy plan (1). This will
make sure they receive the correct amount of energy for their
needs (1).
Customers will invest the correct amount of money into the wind
farm (1). This will lead them to get the best return on their money
(1).
Award any other valid answer. To award 2 marks there must
linked development and evidence of application.","marking_criteria:
  - Benefit to customers of Ripple
example_answers:
  - Customers will receive the correct green energy plan (1)
  - This will make sure they receive the correct amount of energy for their needs (1)
  - Customers will invest the correct amount of money into the wind farm (1)
  - This will lead them to get the best return on their money (1)
  - Any other valid answer with linked development and evidence of application (1)
marking_notes:
  - Award up to 2 marks for linked points outlining a benefit to customers of Ripple.
  - Award a maximum of 1 mark if points are not linked.
  - To award 2 marks there must be linked development and evidence of application.
total_marks:
  - 2",bs_outline
,7.4,edexcel_business_studies,"Ripple provides green energy through its wind farm in
South Wales. Therefore, they would have to pay less tax
to the government on any profits made from production
and supply of energy. (AO2).
• As Ripple grows it will need to employ new people in line with
the government target of 220,000 new jobs in the green energy
sector. As these are new jobs there will be a need for training to
develop new skills. (AO2).
• If Ripple pays less tax to the government then it would
have more retained profit to invest into the business. This
could result in cheaper energy being provided to its
members. As a result, Ripple may attract more investment
and could then expand into other green business ideas
(AO3a).
• Training courses can be expensive. Sending new
employees on these courses would increase the costs of
Ripple. Therefore, if the government pays for this training
then Ripple could focus more of its members’ investment
into expanding the wind farm (AO3a).
• However, the business is owned by the customers and the
main objective may not be profit maximisation. This would
limit the effect that any reduction in tax would have on the
business (AO3b).
• However, the business is located in a remote area of the
country and may not need to employ many people to
manage the wind farm. Therefore, they might not have
enough training requirements to fully benefit from the
government strategy (AO3b)

Level 1 1–3 • Limited application of knowledge and understanding of business
concepts and issues to the business context (AO2).
• Attempts to deconstruct business information and/or issues,
finding limited connections between points (AO3a).
• Makes a judgement, providing a simple justification based on
limited evaluation of business information and issues relevant to
the choice made (AO3b).
Level 2 4-6 • Sound application of knowledge and understanding of business
concepts and issues to the business context although there may
be some inconsistencies (AO2).
• Deconstructs business information and/or issues, finding
interconnected points with chains of reasoning, although there
may be some logical inconsistencies (AO3a).
• Makes a judgement, providing a justification based on sound
evaluation of business information and issues relevant to the
choice made (AO3b).
Level 3 7-9 • Detailed application of knowledge and understanding of
business concepts and issues to the business context
throughout (AO2).
• Deconstructs business information and/or issues, finding detailed
interconnected points with logical chains of reasoning (AO3a).
• Makes a judgement, providing a clear justification based on a
thorough evaluation of business information and issues relevant
to the choice made (AO3b).","Level_1:
  description: 
    - Limited application of knowledge and understanding of business concepts and issues to the business context (AO2).
  marks_awarded:
    maximum: 3
    minimum: 1
  criteria:
    - Attempts to deconstruct business information and/or issues, finding limited connections between points (AO3a).
    - Makes a judgement, providing a simple justification based on limited evaluation of business information and issues relevant to the choice made (AO3b).
  progression:
    - Students can progress to this level by demonstrating a basic understanding of business concepts and making simple connections between points.
  example_answer: 
    - Ripple provides green energy through its wind farm in South Wales. Therefore, they would have to pay less tax to the government on any profits made from production and supply of energy. (AO2).

Level_2:
  description: 
    - Sound application of knowledge and understanding of business concepts and issues to the business context although there may be some inconsistencies (AO2).
  marks_awarded:
    maximum: 6
    minimum: 4
  criteria:
    - Deconstructs business information and/or issues, finding interconnected points with chains of reasoning, although there may be some logical inconsistencies (AO3a).
    - Makes a judgement, providing a justification based on sound evaluation of business information and issues relevant to the choice made (AO3b).
  progression:
    - Students can progress to this level by providing more consistent and interconnected points and making sound evaluations.
  example_answer: 
    - As Ripple grows it will need to employ new people in line with the government target of 220,000 new jobs in the green energy sector. As these are new jobs there will be a need for training to develop new skills. (AO2).
    - If Ripple pays less tax to the government then it would have more retained profit to invest into the business. This could result in cheaper energy being provided to its members. As a result, Ripple may attract more investment and could then expand into other green business ideas (AO3a).

Level_3:
  description: 
    - Detailed application of knowledge and understanding of business concepts and issues to the business context throughout (AO2).
  marks_awarded:
    maximum: 9
    minimum: 7
  criteria:
    - Deconstructs business information and/or issues, finding detailed interconnected points with logical chains of reasoning (AO3a).
    - Makes a judgement, providing a clear justification based on a thorough evaluation of business information and issues relevant to the choice made (AO3b).
  progression:
    - Students can progress to this level by demonstrating thorough and detailed understanding with logically connected reasoning and clear justifications.
  example_answer: 
    - Training courses can be expensive. Sending new employees on these courses would increase the costs of Ripple. Therefore, if the government pays for this training then Ripple could focus more of its members’ investment into expanding the wind farm (AO3a).
    - However, the business is owned by the customers and the main objective may not be profit maximisation. This would limit the effect that any reduction in tax would have on the business (AO3b).
    - However, the business is located in a remote area of the country and may not need to employ many people to manage the wind farm. Therefore, they might not have enough training requirements to fully benefit from the government strategy (AO3b).
",bs_justify
