answer_id,question_id,student_id,subject_id,linked_answer_id,answer_text,answer_scanned_image,awarded_marks
,1,5001,aqa_history,,"Contextually, source A displays how during the Russian resolution of 1917 which led to the bolsheviks becoming in power, the bolsheviks 'backstabbed the allies' and russia while Kaiser Wilhelm II is very eagerly watching in the background. This represents the allies frustration against russia and especially the bolsheviks as they left the war and had signed a peace treaty with Germany giving up significant portions of valueable land.
",,4
,2,5001,aqa_history,,"In source B, we can see an image displaying the tradectory of artillery bombardments. The allies use the cover created by the smoke and explosions to advance through no-mans land with the element of surprise. This allowed it so that the enemy would have a difficult time discerning where the enemy were attacking from. This form of tactical manouvering is known as a 'creeping barrage'. The allies would time artillery bombardment at certain angles and simultaneously the soldiers would 'creep in'.

Tanks were first introduced in the battle of the Somme 1916, but were largely inneffective as they were slow (only reaching speeds of 4 mph), many tactics were

not developed for them as the British thought of not much use for them. But by 1917 and 1918, tanks were being deployed in large rows of 200-300 tanks which would cross over no-mans land and destroy the barbed wire defences. In source C, we see the mention of machine guns on the tanks as they were added as a way to bring more firepower. These machine guns were mounted on and could turn 360 degrees to inflict damage upon the enemies.",,7
,3,5001,aqa_history,,"The Schlieffen plan was heavily reliant on Russia taking a long time to mobilize and a very quick and decisive win against France (in 40 days). The plan was to have a large bulk of the German army invade France by cutting into Belgium, the Netherlands and Luxembourg to surprise the French, who would be anticipating an attack directly into France on the boarder between them. However, the Schlieffen plan failed as Russia only took 10 days to mobilize (faster than expected) and Belgium put up a fierce and resistance fight against the Germans (much more resistance than Germany had anticipated). Ultimately, invading through Belgium only helped the stalemate last longer as Britain was forced to join the war effort as invading Belgium initiated an 1843 treaty of London where Britain vowed to protect Belgium. This prolonged the war significantly, turning 40 days into 4 years.
",,8
,4.1,5001,aqa_history,,"I agree with the statement as the alliances meant that Europe was divided in two different camps. The alliances were the main trigger for many of the events, wars and crises that led up to world war one. The black hand (a terrorist group) assasinated Archduke Franz Ferdinand (the heir to the austrian-hungarian throne) leaving only serbia to blame for the assasination. Austria-Hungary sent a couple requests to the Serbian government but the government accepted all except one (which allowed Austria-Hungary full control over the Serbian police force). Austria-Hungary soon declared war on Serbia which prompted Russia to declare war on Austria-Hungary in defence of Serbia, Germany to declare war on Russia, France to declare war on Germany. Then Germany invaded Belgium bringing Britain into the war as it triggered the 1843 treaty of London which Britain vowed to protect Belgium from invading forces. Because of Archduke Franz Ferdinand's death,Europe was involved in an all-out war.

In 1871, shortly after Germany's unification, Germany and Austria-Hungary made an alliance together as they both shared similar cuteral identities,had shared the same common language of German and were politically close to each other. Later, the Italians joined the dual alliance to form the triple alliance with Germany and Austria-Hungary. In 1892, France and Russia formed an alliance together. This was a threat towards Germany as it meant they could be attacked from either the East or the West. Later in 1904, Britain formed an alliance with France, known as the Entente Cordiale (Friendly alliance). Then in 1906, Britain, France and Russia all came together to form the triple Entente. The alliance system made political disputes more intense as one disagreement could lead to a major war. This is clearly seen in the Moroccan crisises and the Balkan wars. The involvement of this many countries made it impossible to avoid an all  out war from breaking out in Europe, thus causing the start of World War One.",,6
,4.2,5001,aqa_history,,"I agree with the statement as the alliances meant that Europe was divided in two different camps. The alliances were the main trigger for many of the events, wars and crises that led up to world war one. The black hand (a terrorist group) assasinated Archduke Franz Ferdinand (the heir to the austrian-hungarian throne) leaving only serbia to blame for the assasination. Austria-Hungary sent a couple requests to the Serbian government but the government accepted all except one (which allowed Austria-Hungary full control over the Serbian police force). Austria-Hungary soon declared war on Serbia which prompted Russia to declare war on Austria-Hungary in defence of Serbia, Germany to declare war on Russia, France to declare war on Germany. Then Germany invaded Belgium bringing Britain into the war as it triggered the 1843 treaty of London which Britain vowed to protect Belgium from invading forces. Because of Archduke Franz Ferdinand's death,Europe was involved in an all-out war.

In 1871, shortly after Germany's unification, Germany and Austria-Hungary made an alliance together as they both shared similar cuteral identities,had shared the same common language of German and were politically close to each other. Later, the Italians joined the dual alliance to form the triple alliance with Germany and Austria-Hungary. In 1892, France and Russia formed an alliance together. This was a threat towards Germany as it meant they could be attacked from either the East or the West. Later in 1904, Britain formed an alliance with France, known as the Entente Cordiale (Friendly alliance). Then in 1906, Britain, France and Russia all came together to form the triple Entente. The alliance system made political disputes more intense as one disagreement could lead to a major war. This is clearly seen in the Moroccan crisises and the Balkan wars. The involvement of this many countries made it impossible to avoid an all  out war from breaking out in Europe, thus causing the start of World War One.",,3
,1,5002,aqa_history,,"In Source A it shows that the russian people and the bolshevik. And the 
German kaiser. It looks as if the Kaiser wants the bolsheviks 
to steal or steal back the german gold. This was also
Set in the first word war. (During WW1). The lady
which is labeled russia seems like she cannot do
anything about the bolskveiks trying to steal the gold. They
have put 'BETRAYED' this is because Bosnia had asked
russia for help whilst having war threats. So they 
asked russia for help and it shows now that they are stealing
money for the germans in WWI and they are taking it from the russians. ",,0
,2,5002,aqa_history,,"In source B it shows the British Soilders advancing under an artillery barrage. The british Soilder were running in waves all in different waves. this is because they cannot be in any artillery barage. you can see that all the soilders are running and still alive and not getting under an artillery barage. Each wave protects you from a plane and from bombs dropping on you.

In Source C it Shows that the german Soilder were preparing an attack on the british tank, but then 7 of the newest and fastest tanks named whippets came and drove straight into the german Soilders and scattered them in all directions, which this had destroyed the German threat. This helps the students studying military technology understand about how fast and powerful the Whippet was. In source B shows how useful and how good the strategy was used by the british soldiers were they could run across the battlefield without dying this helps the student studying Military technology.

",,3
,3,5002,aqa_history,,,,0
,4.1,5002,aqa_history,,"I agree with this statement to full extent. This is because a factor which led to World War 1 was the Morrocan crisis which this had France wanted to take over Morroco and Germany's kaiser went to Tangier to show support on Morrocos full independence. This was to see how far France would push. And Britain was allies with France so if Germany would war with France britian would be there for support.

Another factor was when there was a rebillion in tukey and they used this as an opportunity to take advantage of Turkey's weakened state.",,3
,4.2,5002,aqa_history,,"I agree with this statement to full extent. This is because a factor which led to World War 1 was the Morrocan crisis which this had France wanted to take over Morroco and Germany's kaiser went to Tangier to show support on Morrocos full independence. This was to see how far France would push. And Britain was allies with France so if Germany would war with France britian would be there for support.

Another factor was when there was a rebillion in tukey and they used this as an opportunity to take advantage of Turkey's weakened state.",,0
